Name,남자,여자
민준,41339,28
서준,40656,52
도윤,33950,1594
예준,32093,375
시우,31364,3690
하준,30285,32
지호,28654,3553
주원,28607,4290
지후,25677,4103
준우,24799,24
준서,24294,473
도현,24143,762
건우,23306,6
현우,23085,103
우진,22516,375
지훈,22279,38
선우,21070,2833
유준,19409,35
서진,19270,10949
연우,19212,14321
은우,18795,4838
민재,17705,725
현준,17292,15
시윤,16424,6933
정우,16303,165
이준,16129,67
승우,14794,25
윤우,14719,509
지우,14282,33766
지환,14282,17
승현,14113,1742
유찬,13923,7
준혁,13864,3
수호,13094,61
승민,12895,580
시후,12681,427
진우,12587,58
민성,12255,328
수현,11904,10515
준영,11896,275
지원,11810,17956
이안,11634,3614
재윤,10658,857
시현,10617,9420
태윤,10341,516
한결,10316,708
지안,9920,20665
동현,9681,26
윤호,9652,20
시원,9645,2092
은찬,9606,254
시온,9578,4695
민우,9507,54
재원,9452,605
민규,9425,9
지한,9290,83
서우,9286,12938
은호,9216,688
재민,9105,176
민찬,9047,10
우주,8774,1645
우빈,8583,286
하율,8412,13945
준호,8376,2
지율,8198,11702
율,8181,3952
성민,8137,222
하진,8120,5241
승준,8093,4
성현,7988,520
재현,7964,159
현서,7942,11600
민호,7908,8
태민,7880,66
준,7770,118
예성,7694,521
지민,7685,23766
지성,7681,168
윤재,7651,341
태현,7595,326
민혁,7441,1
하람,7381,4782
규민,7314,926
성준,7303,1
하민,7277,2922
로운,7273,907
윤성,7156,356
정민,7135,3647
태양,7091,129
이현,6965,4113
은성,6829,2403
예찬,6823,40
준수,6755,9
도훈,6732,1
준희,6667,3179
다온,6538,8402
민석,6538,4
주안,6480,585
건,6461,11
주호,6405,45
서윤,2751,38545
서연,141,38418
하윤,4044,31198
서현,2227,31195
하은,216,30282
민서,5380,29550
지유,1170,26566
윤서,3148,26049
채원,601,24493
수아,211,23865
지아,28,23361
지윤,1863,22599
다은,34,22424
은서,279,22373
예은,6,20825
소율,334,20262
서아,21,20108
예린,5,19800
수빈,1709,19392
